out_R,ring_w,hex_R,gap_l1,petal_s,gnd_h
4.9575,0.5862,2.929,0.4523,0.6822,8.6
5.4476,0.4549,4.2685,1.1271,0.9108,6.4
5.5021,0.9587,2.8758,0.6549,0.7801,6.6
5.0853,0.5751,3.3254,0.8507,1.2134,7.0
5.482,0.4707,2.9662,1.7825,1.0738,6.6
5.4328,0.6769,3.1935,1.5007,1.0059,5.6
5.5133,0.5623,4.0692,1.0797,1.0572,7.2
4.8514,0.6022,2.9461,1.7414,0.6589,5.4
4.3964,0.6552,2.6226,1.9674,0.6667,5.2
5.3949,0.8531,2.7717,1.5028,0.6162,6.0
5.0713,0.5169,2.9043,0.4884,0.9063,9.0
4.7109,0.4762,3.0517,0.6042,0.6905,5.8
5.4289,0.4215,2.9898,1.5018,1.0176,6.2
5.1898,0.5663,3.2846,0.5861,0.8932,5.4
5.3445,0.5106,3.9557,1.1411,0.6207,5.0
5.0599,0.6315,3.3981,1.283,1.1198,6.6
5.0639,0.7862,3.2124,0.4573,0.8352,6.2
5.2758,0.7467,3.0925,0.6782,0.7755,6.4
5.2832,0.4869,3.3306,1.1061,0.6896,7.4
4.5558,0.4267,3.4159,1.0417,1.3368,5.0
5.0142,0.4687,2.7393,1.0821,0.6049,6.8
5.3492,0.51,3.4173,0.8183,0.6692,5.2
5.5318,0.7275,3.2086,1.4159,0.6677,3.8
5.4974,0.5525,3.5614,0.7853,0.8714,8.6
5.3507,0.5759,3.8687,1.9297,1.2848,8.4
4.5268,0.4563,2.7427,1.7811,0.67,4.0
5.5907,0.8865,3.0771,1.7687,0.9265,8.2
5.1792,0.445,3.3528,1.2777,1.0535,4.2
4.7852,0.4007,3.1637,0.8354,0.7487,4.6
4.778,0.4228,2.9713,1.225,0.6055,4.2
5.3942,0.7159,3.529,0.4196,0.7552,7.0
5.2941,0.6334,3.2288,1.2344,1.0823,8.2
5.2066,0.4965,3.7791,1.9031,1.2831,6.8
4.8989,0.584,2.7755,0.8217,0.7678,4.0
4.7452,0.6501,2.9319,0.8243,0.6456,4.6
5.1962,0.4281,3.6897,1.5887,0.9142,6.0
5.3711,0.4414,3.3661,1.4779,0.9655,3.8
5.5362,0.4152,3.9446,1.1833,0.8374,6.6
5.3104,0.4989,3.194,1.9547,0.8489,4.0
4.7559,0.5156,3.2779,0.4852,0.6971,8.6
5.4738,0.5988,3.2951,0.9933,0.8973,8.4
5.4191,0.4718,3.7442,1.5365,1.0613,7.2
5.157,0.4777,2.7064,1.162,0.9924,8.4
5.3385,0.5296,3.3409,0.9677,1.2496,6.2
4.6992,0.5019,2.9304,0.4128,0.9615,8.6
5.1173,0.4222,3.4322,1.4389,1.3568,4.6
5.5246,0.6659,3.4658,0.5457,1.0214,8.0
5.5531,0.7605,3.6617,1.0268,1.0043,5.8
5.3789,0.5065,3.9218,0.4307,1.2761,8.8
5.3724,0.512,3.5906,0.8611,0.9805,4.0
4.3015,0.4874,3.0425,1.0179,1.085,7.2
5.5716,0.8925,3.3377,1.3866,0.9469,6.2
4.9552,0.7225,3.0966,1.8342,0.8593,8.4
5.4767,0.7548,3.0606,1.3877,0.9714,5.4
5.2051,0.6226,3.3554,1.5406,1.2183,4.4
4.5364,0.4654,3.3121,1.8986,1.238,6.0
4.887,0.4517,3.3462,0.4421,0.7477,7.4
5.4388,0.7085,3.6081,1.3688,0.6753,5.4
5.53,0.4794,3.4733,1.8727,1.2328,5.6
5.4541,0.5024,2.6664,1.7364,0.9297,6.8
5.339,0.8024,3.481,1.0247,0.8136,8.6
4.9486,0.73,3.2334,1.3417,0.7198,4.6
5.169,0.7116,3.0946,1.4017,0.8752,5.2
5.123,0.4981,3.6847,0.5494,1.2045,6.4
5.0498,0.6673,2.9284,0.6157,0.7123,6.8
4.6338,0.5687,3.0985,0.7654,1.14,7.8
5.4808,0.7574,3.4337,0.4407,0.6187,8.8
5.1815,0.695,3.462,1.0969,1.064,8.2
4.9223,0.7263,3.0186,0.459,0.7655,5.4
4.8915,0.6297,2.7934,0.6393,0.8286,4.8
5.5125,0.5067,4.1943,0.9967,0.7877,7.4
5.2473,0.7954,3.0023,1.2392,0.8424,7.0
4.7368,0.4899,3.2631,1.8812,0.7749,6.2
4.9301,0.7115,3.2029,0.5113,0.7367,4.8
5.4921,0.6306,2.8648,0.9507,0.6547,8.4
4.8968,0.6117,3.2982,1.9174,0.8704,8.6
5.5873,0.5618,3.0159,0.8067,0.6743,6.6
4.8045,0.4323,3.1954,1.6874,0.9209,8.0
5.0729,0.6122,3.1472,0.976,1.105,4.0
5.5732,0.5105,3.7486,0.7545,0.7895,8.2
4.7667,0.7312,2.9929,1.3194,0.8509,6.4
5.1308,0.7932,3.1067,1.9648,0.721,5.2
5.5792,0.4729,3.8166,1.9627,1.2193,4.4
5.058,0.7415,3.0641,1.2063,0.7892,8.2
5.3895,0.4529,4.0095,0.8788,0.8288,4.0
5.0041,0.6286,2.9403,0.8753,0.6561,4.0
5.4572,0.4219,4.0604,1.7374,1.0124,3.6
5.3753,0.548,3.248,0.8872,0.6534,7.2
5.1561,0.6857,2.6447,0.4727,0.783,8.0
5.4334,0.8246,2.9212,0.9115,0.6073,4.6
5.2188,0.4349,2.747,1.6438,0.8505,5.0
5.0218,0.5114,3.015,0.5839,0.6045,5.2
5.5984,0.7537,3.6098,0.5872,1.2655,4.8
5.0147,0.6545,3.1535,0.7673,0.8724,6.0
5.5609,0.68,2.9949,0.7877,0.6335,3.6
5.4848,0.5343,4.0999,0.6089,1.3182,8.2
5.5654,0.5084,2.8378,0.6569,0.6864,4.8
4.7019,0.4426,3.2363,0.4284,0.6302,4.4
5.3323,0.8205,3.3917,1.338,0.8392,4.2
4.9195,0.636,3.2164,1.264,1.0548,4.8
4.3798,0.5734,2.9592,1.5869,0.7825,3.8
5.0309,0.6924,3.1674,1.366,0.852,6.2
5.5568,0.553,3.7255,1.4132,1.0778,4.2
5.3468,0.5512,3.9434,1.6011,1.0503,4.8
4.9888,0.4091,3.2914,1.8911,0.948,7.8
5.5189,0.5996,3.537,1.5753,1.0509,4.6
4.6241,0.4932,3.3276,1.4003,0.9136,3.8
5.2813,0.6792,3.505,1.5613,0.8634,4.8
5.5788,0.6434,2.8301,1.7743,0.7061,6.0
4.981,0.4583,3.0932,1.0286,1.06,4.8
4.8795,0.5655,2.9006,0.6675,0.7703,5.0
4.9793,0.4732,3.3575,1.809,1.0845,7.8
5.3997,0.4758,2.8712,0.9578,0.9994,6.0
5.1257,0.8639,2.8579,1.797,0.6877,6.2
4.9915,0.5008,3.5086,1.2757,0.6779,5.8
5.2905,0.5592,2.7253,0.4087,0.8169,6.6
5.4613,0.5144,3.3755,0.6901,1.0412,8.4
5.1034,0.6078,2.9622,1.1478,0.7557,6.2
5.5998,0.5784,3.5431,0.5482,0.6912,4.0
4.5319,0.4541,3.3357,1.7294,0.9909,7.4
5.4553,0.7206,3.0331,0.7099,0.7223,8.2
5.0758,0.6439,3.1052,1.9345,0.7782,5.0
5.3811,0.444,3.6892,0.5019,0.9382,5.2
5.1197,0.447,3.8088,1.312,0.7647,8.2
5.2544,0.593,3.2929,1.6143,1.0087,5.8
5.2153,0.6475,3.4697,1.4551,1.0159,3.6
5.2615,0.4253,3.89,1.9383,1.24,7.8
5.3412,0.5451,3.0723,1.3525,0.9003,4.6
5.4595,0.4624,3.697,1.4444,1.2862,7.4
5.5884,0.8572,3.5629,0.4754,0.715,6.0
5.002,0.5442,3.1745,0.5997,1.119,7.4
5.5646,0.6623,2.6467,1.5563,0.7446,6.2
5.1738,0.5546,3.1368,0.543,1.0359,5.4
5.5091,0.6275,3.7413,0.8018,0.8395,8.6
5.1997,0.5738,3.595,1.6363,0.9118,4.2
5.2855,0.4173,3.628,0.8131,0.9784,5.4
5.1358,0.4034,2.9786,0.7479,0.6596,5.2
5.4118,0.7211,3.0602,1.6922,1.0415,8.8
4.4139,0.6714,2.6433,1.1557,0.6471,8.4
5.5051,0.4338,3.7217,1.8137,1.1858,5.0
5.5945,0.4049,3.9713,0.4369,0.7328,3.8
5.3641,0.7845,2.72,1.3938,0.6703,8.4
5.3733,0.987,2.802,1.9706,0.6637,8.0
4.9648,0.7554,2.6545,1.0811,0.7603,4.0
5.2753,0.6584,3.3,0.4977,1.1869,7.6
5.4471,0.4116,2.8361,1.586,0.7076,3.8
5.4107,0.7499,3.5271,1.1774,0.9639,8.4
5.458,0.5635,3.6658,1.0238,1.2278,4.4
5.5469,0.6707,2.8235,1.493,0.8195,4.2
4.4583,0.5571,2.7904,1.3411,0.7341,6.8
5.5326,0.8768,3.1123,1.8036,0.6812,7.8
5.0114,0.4531,3.2008,1.0674,1.1841,6.6
5.5431,0.4615,4.0827,0.8785,0.9441,6.4
5.2643,0.5923,3.2877,0.7419,0.7645,7.0
5.3335,0.6761,3.0673,1.0002,0.8451,5.2
4.9995,0.7851,2.7829,1.4283,0.6664,3.6
4.8614,0.7348,2.7225,1.8559,0.7108,7.8
4.736,0.4876,2.6582,0.4472,0.8645,7.6
5.2737,0.5137,3.7596,0.6751,0.7599,7.2
5.4504,0.6528,3.5681,1.0599,1.1753,7.6
5.244,0.9203,2.7358,1.2092,0.7086,5.2
4.7598,0.5265,3.0694,1.0719,1.0145,3.8
5.0803,0.7128,3.2868,1.7836,1.0461,7.8
5.2967,0.5888,3.7947,0.6469,1.359,5.2
5.5926,0.4804,2.6709,0.4614,0.7812,8.2
5.1405,0.6901,3.1433,1.9616,0.687,5.0
4.7707,0.6911,2.8467,1.6184,0.9053,9.0
5.3931,0.6477,3.0563,0.9983,1.0514,7.6
4.8581,0.4019,3.1597,1.7201,1.0666,9.0
5.5057,0.7338,3.6157,0.411,1.2311,7.0
4.5232,0.4644,2.66,1.9739,0.6937,7.8
5.11,0.5449,3.1714,1.7715,0.614,5.8
5.0809,0.4781,3.7009,1.6246,0.6258,4.0
5.5269,0.5181,4.2103,0.9742,0.9956,4.4
5.484,0.5118,2.642,0.4135,0.8463,4.4
5.0531,0.5665,3.1911,0.6943,0.9873,5.8
5.5771,0.9261,2.7885,1.8709,0.7287,8.8
4.6463,0.715,2.7961,1.9992,0.6919,6.0
4.9674,0.4164,3.1294,1.3586,0.8031,5.2
5.198,0.4385,2.8184,1.6779,0.6095,6.4
5.3041,0.7243,3.1571,0.9326,0.9439,7.4
5.5008,0.9869,3.0463,1.7118,0.6541,7.2
4.9131,0.6468,2.8171,1.8479,0.9513,6.8
4.7308,0.5431,3.2563,1.2384,0.6248,7.0
4.8951,0.6032,2.7415,1.1947,0.887,4.2
4.875,0.4313,3.3137,1.6652,0.7505,5.8
5.1314,0.63,3.1618,1.8459,0.9861,5.2
5.089,0.5509,2.7317,0.9539,0.7294,5.0
4.8106,0.4602,3.2107,0.4177,0.9542,3.6
4.3429,0.4158,2.9474,1.5704,0.6234,6.8
4.9756,0.4021,2.7091,1.2213,0.6846,6.4
5.4756,0.4723,3.1646,0.9226,1.0522,9.0
5.5625,0.5957,3.8482,1.3592,1.3208,6.2
4.9035,0.4887,3.0874,1.837,0.7628,8.2
5.5032,0.4068,3.5238,0.9908,0.8215,8.4
5.1615,0.7493,3.1657,0.9723,0.6944,6.6
5.0769,0.4319,3.6499,1.0039,1.1233,5.8
5.5557,0.5387,4.1069,0.6871,0.7191,5.0
5.2896,0.5579,2.8921,0.4441,0.7873,6.0
4.828,0.4626,3.179,1.7926,1.0048,4.6
5.4785,0.5825,3.8296,0.7776,0.7322,6.0
5.2093,0.6293,3.6167,0.5976,1.1089,8.2
5.3185,0.5938,3.0247,0.8411,0.7447,8.4
5.3452,0.7946,3.0796,1.5597,0.8621,8.0
5.4528,0.5317,3.8819,0.9123,1.2845,8.2
5.3082,0.7919,3.0316,0.5611,0.8086,5.6
4.8323,0.443,3.0527,1.4279,0.7044,8.8
5.5662,0.7597,3.2424,1.4682,1.0955,6.2
5.2178,0.6884,2.621,1.2148,0.8161,7.4
5.1333,0.4576,3.87,1.9438,1.1813,7.8
4.4159,0.4305,2.696,0.9383,0.9187,6.6
5.2008,0.5648,3.7768,1.9329,1.2954,6.4
5.3879,0.4843,3.2216,1.5389,0.8472,7.8
5.5407,0.6253,3.5936,1.064,1.0749,4.6
5.4892,0.4797,3.778,0.8292,1.1328,4.2
4.749,0.5965,2.6196,1.5632,0.8854,8.8
5.3531,0.8046,2.6995,1.7594,0.6403,7.0
4.9436,0.4418,3.592,1.4211,1.0528,5.6
5.3282,0.5381,3.1731,1.0438,0.9697,6.8
5.008,0.6844,3.1447,0.6797,1.0233,4.8
4.7912,0.5984,3.0502,1.182,0.7958,4.6
5.0591,0.4199,3.2657,0.7214,1.0944,6.6
5.5691,0.8273,3.53,1.3365,0.6103,6.0
5.3261,0.7801,3.5108,1.1572,0.7374,5.8
5.5832,0.4096,3.1398,1.6729,0.7881,8.4
5.5018,0.7176,3.3088,1.3983,0.9579,8.8
5.2232,0.6459,3.2902,0.7256,1.0553,8.6
5.374,0.4591,4.0202,0.4067,1.2701,7.2
5.0963,0.5411,3.5579,0.9364,0.8681,5.2
4.6565,0.4188,3.3842,0.9187,0.9594,5.2
5.2694,0.642,2.9921,0.5261,0.9303,7.6
4.6288,0.444,3.4402,1.5417,1.0148,8.0
5.0829,0.6569,3.4478,1.0921,0.7948,5.2
5.5264,0.5051,3.4467,0.8654,0.8278,5.6
4.9867,0.5185,2.9372,0.6992,0.6557,6.6
4.7988,0.4612,3.4284,1.5351,0.9929,3.8
4.7879,0.89,2.6009,1.827,0.6201,6.0
5.3307,0.4206,3.8003,1.3059,0.8004,8.0
4.4485,0.4463,3.1546,1.4589,0.9015,9.0
4.4969,0.4054,2.9193,1.8481,1.0917,4.2
4.4793,0.4839,3.0455,1.6746,1.0264,5.0
5.5216,0.4452,4.2026,1.3624,1.3388,4.8
5.151,0.7204,3.4221,1.1844,1.0382,9.0
5.3844,0.6381,3.3476,0.4608,1.1455,7.2
5.398,0.7191,2.9995,1.8044,0.8484,4.4
4.3149,0.471,2.7665,0.5295,0.8939,6.6
5.5443,0.737,3.8202,1.1262,0.72,4.8
5.0013,0.4004,2.8413,0.8675,0.8993,5.4
4.908,0.4271,3.7915,1.292,0.9028,3.6
5.4135,0.5586,3.9321,0.4809,1.0277,8.2
5.4869,0.5627,3.2065,0.6821,0.9775,6.6
4.9345,0.6105,3.0782,0.6004,0.8115,4.4
5.5601,0.8871,3.1232,1.4717,0.7779,7.6
5.3651,0.6824,3.1489,0.4814,0.8055,7.6
4.8899,0.4385,2.9804,1.0455,0.8848,6.2
